auctionId,title,url,location,Current Bid,Bid Increment,Number of Bids,Minimum Bid,status,Auction Start DateTime,Auction End DateTime,Bid Deposit,PIN,Legal Description,Address,Parcel Map,GIS,Add'l Information,Total Assessed Values,Zoning Type,rating,Update Message,IRS Liens
1080169,"Santa Cruz County, CA: PIN: 067-301-06",<a target='_blank' href='https://www.bid4assets.com/mvc/auction/1080169'>Link</a>,CA,"$1,700",$100,0,"$1,700",In Preview,03-03-23 11:00 AM ET,03-07-23 02:15 PM ET,"$3,035",067-301-06,"<a href=""https://www.bid4assets.com/mvc/info/sfid11629/Legals/067-301-06 Corrected.pdf"" target=""_blank"">Click here</a>",CA,"<a target=""_blank"" href=""https://www.bid4assets.com/mvc/info/sfid11629/Maps/067-301-06.pdf"">View Parcel Map</a>","<a target=""_blank"" href=""https://gis.santacruzcounty.us/gisweb/"">View GIS</a>","Assessed Values - <a href=""http://sccounty01.co.santa-cruz.ca.us/ASR/ParcelList/linkHREF?txtAPN=06730106&amp;outSide=true"" target=""_blank"">Click here</a>Taxes - <a href=""http://ttc.co.santa-cruz.ca.us/TaxBills/"" target=""_blank"">Click here</a>","$3,641.00",059-UNBUILDABLE ACREAGE,
1080171,"Santa Cruz County, CA: PIN: 072-321-08",<a target='_blank' href='https://www.bid4assets.com/mvc/auction/1080171'>Link</a>,CA,"$5,000",$100,0,"$5,000",In Preview,03-03-23 11:00 AM ET,03-07-23 02:30 PM ET,"$3,035",072-321-08,"<a href=""https://www.bid4assets.com/mvc/info/sfid11629/Legals/072-321-08.pdf"" target=""_blank"">Click here</a>",CA,"<a target=""_blank"" href=""https://www.bid4assets.com/mvc/info/sfid11629/Maps/072-321-08.pdf"">View Parcel Map</a>","<a target=""_blank"" href=""https://gis.santacruzcounty.us/gisweb/"">View GIS</a>","Assessed Values - <a href=""http://sccounty01.co.santa-cruz.ca.us/ASR/ParcelList/linkHREF?txtAPN=07232108&amp;outSide=true"" target=""_blank"">Click here</a>Taxes - <a href=""http://ttc.co.santa-cruz.ca.us/TaxBills/"" target=""_blank"">Click here</a>","$30,113.00",050-LOT/RURAL ZONE,
1080173,"Santa Cruz County, CA: PIN: 074-073-02",<a target='_blank' href='https://www.bid4assets.com/mvc/auction/1080173'>Link</a>,10340 E ZAYANTE RD CA,"$23,700",$100,0,"$23,700",In Preview,03-03-23 11:00 AM ET,03-07-23 02:30 PM ET,"$3,035",074-073-02,"<a href=""https://www.bid4assets.com/mvc/info/sfid11629/Legals/074-073-02.pdf"" target=""_blank"">Click here</a>","10340 E ZAYANTE RD, CA","<a target=""_blank"" href=""https://www.bid4assets.com/mvc/info/sfid11629/Maps/074-073-02.pdf"">View Parcel Map</a>","<a target=""_blank"" href=""https://gis.santacruzcounty.us/gisweb/"">View GIS</a>","Assessed Values - <a href=""http://sccounty01.co.santa-cruz.ca.us/ASR/ParcelList/linkHREF?txtAPN=07407302&amp;outSide=true"" target=""_blank"">Click here</a>Taxes - <a href=""http://ttc.co.santa-cruz.ca.us/TaxBills/"" target=""_blank"">Click here</a>","$231,032.00",020-SINGLE RESIDENCE,
1080174,"Santa Cruz County, CA: PIN: 076-075-04",<a target='_blank' href='https://www.bid4assets.com/mvc/auction/1080174'>Link</a>,CA,"$1,800",$100,0,"$1,800",In Preview,03-03-23 11:00 AM ET,03-07-23 02:30 PM ET,"$3,035",076-075-04,"<a href=""https://www.bid4assets.com/mvc/info/sfid11629/Legals/076-075-04.pdf"" target=""_blank"">Click here</a>",CA,"<a target=""_blank"" href=""https://www.bid4assets.com/mvc/info/sfid11629/Maps/076-075-04.pdf"">View Parcel Map</a>","<a target=""_blank"" href=""https://gis.santacruzcounty.us/gisweb/"">View GIS</a>","Assessed Values - <a href=""http://sccounty01.co.santa-cruz.ca.us/ASR/ParcelList/linkHREF?txtAPN=07607504&amp;outSide=true"" target=""_blank"">Click here</a>Taxes - <a href=""http://ttc.co.santa-cruz.ca.us/TaxBills/"" target=""_blank"">Click here</a>","$2,251.00",050-LOT/RURAL ZONE,
1080175,"Santa Cruz County, CA: PIN: 079-411-01",<a target='_blank' href='https://www.bid4assets.com/mvc/auction/1080175'>Link</a>,CA,"$4,600",$100,0,"$4,600",In Preview,03-03-23 11:00 AM ET,03-07-23 02:30 PM ET,"$3,035",079-411-01,"<a href=""https://www.bid4assets.com/mvc/info/sfid11629/Legals/079-411-01.pdf"" target=""_blank"">Click here</a>",CA,"<a target=""_blank"" href=""https://www.bid4assets.com/mvc/info/sfid11629/Maps/079-411-01.pdf"">View Parcel Map</a>","<a target=""_blank"" href=""https://gis.santacruzcounty.us/gisweb/"">View GIS</a>","Assessed Values - <a href=""http://sccounty01.co.santa-cruz.ca.us/ASR/ParcelList/linkHREF?txtAPN=07941101&amp;outSide=true"" target=""_blank"">Click here</a>Taxes - <a href=""http://ttc.co.santa-cruz.ca.us/TaxBills/"" target=""_blank"">Click here</a>","$10,262.00",051-1-4.9 ACRE/RURAL,
1080176,"Santa Cruz County, CA: PIN: 082-092-10",<a target='_blank' href='https://www.bid4assets.com/mvc/auction/1080176'>Link</a>,CA,"$1,700",$100,0,"$1,700",In Preview,03-03-23 11:00 AM ET,03-07-23 02:30 PM ET,"$3,035",082-092-10,"<a href=""https://www.bid4assets.com/mvc/info/sfid11629/Legals/082-092-10.pdf"" target=""_blank"">Click here</a>",CA,"<a target=""_blank"" href=""https://www.bid4assets.com/mvc/info/sfid11629/Maps/082-092-10.pdf"">View Parcel Map</a>","<a target=""_blank"" href=""https://gis.santacruzcounty.us/gisweb/"">View GIS</a>","Assessed Values - <a href=""http://sccounty01.co.santa-cruz.ca.us/ASR/ParcelList/linkHREF?txtAPN=08209210&amp;outSide=true"" target=""_blank"">Click here</a>Taxes - <a href=""http://ttc.co.santa-cruz.ca.us/TaxBills/"" target=""_blank"">Click here</a>","$2,843.00",011-UNBUILDABLE LOT,
1080177,"Santa Cruz County, CA: PIN: 082-122-16",<a target='_blank' href='https://www.bid4assets.com/mvc/auction/1080177'>Link</a>,CA,"$1,800",$100,0,"$1,800",In Preview,03-03-23 11:00 AM ET,03-07-23 02:30 PM ET,"$3,035",082-122-16,"<a href=""https://www.bid4assets.com/mvc/info/sfid11629/Legals/082-122-16.pdf"" target=""_blank"">Click here</a>",CA,"<a target=""_blank"" href=""https://www.bid4assets.com/mvc/info/sfid11629/Maps/082-122-16.pdf"">View Parcel Map</a>","<a target=""_blank"" href=""https://gis.santacruzcounty.us/gisweb/"">View GIS</a>","Assessed Values - <a href=""http://sccounty01.co.santa-cruz.ca.us/ASR/ParcelList/linkHREF?txtAPN=08212216&amp;outSide=true"" target=""_blank"">Click here</a>Taxes - <a href=""http://ttc.co.santa-cruz.ca.us/TaxBills/"" target=""_blank"">Click here</a>","$8,585.00",011-UNBUILDABLE LOT,
1080178,"Santa Cruz County, CA: PIN: 083-353-08",<a target='_blank' href='https://www.bid4assets.com/mvc/auction/1080178'>Link</a>,CA,"$1,900",$100,0,"$1,900",In Preview,03-03-23 11:00 AM ET,03-07-23 02:45 PM ET,"$3,035",083-353-08,"<a href=""https://www.bid4assets.com/mvc/info/sfid11629/Legals/083-353-08.pdf"" target=""_blank"">Click here</a>",CA,"<a target=""_blank"" href=""https://www.bid4assets.com/mvc/info/sfid11629/Maps/083-353-08.pdf"">View Parcel Map</a>","<a target=""_blank"" href=""https://gis.santacruzcounty.us/gisweb/"">View GIS</a>","Assessed Values - <a href=""http://sccounty01.co.santa-cruz.ca.us/ASR/ParcelList/linkHREF?txtAPN=08335308&amp;outSide=true"" target=""_blank"">Click here</a>Taxes - <a href=""http://ttc.co.santa-cruz.ca.us/TaxBills/"" target=""_blank"">Click here</a>","$3,088.00",011-UNBUILDABLE LOT,
1080179,"Santa Cruz County, CA: PIN: 085-033-46",<a target='_blank' href='https://www.bid4assets.com/mvc/auction/1080179'>Link</a>,CA,"$1,500",$100,0,"$1,500",In Preview,03-03-23 11:00 AM ET,03-07-23 02:45 PM ET,"$3,035",085-033-46,"<a href=""https://www.bid4assets.com/mvc/info/sfid11629/Legals/085-033-46.pdf"" target=""_blank"">Click here</a>",CA,"<a target=""_blank"" href=""https://www.bid4assets.com/mvc/info/sfid11629/Maps/085-033-46.pdf"">View Parcel Map</a>","<a target=""_blank"" href=""https://gis.santacruzcounty.us/gisweb/"">View GIS</a>","Assessed Values - <a href=""http://sccounty01.co.santa-cruz.ca.us/ASR/ParcelList/linkHREF?txtAPN=08503346&amp;outSide=true"" target=""_blank"">Click here</a>Taxes - <a href=""http://ttc.co.santa-cruz.ca.us/TaxBills/"" target=""_blank"">Click here</a>","$3,748.00",011-UNBUILDABLE LOT,
1080180,"Santa Cruz County, CA: PIN: 085-193-14",<a target='_blank' href='https://www.bid4assets.com/mvc/auction/1080180'>Link</a>,CA,"$3,900",$100,0,"$3,900",In Preview,03-03-23 11:00 AM ET,03-07-23 02:45 PM ET,"$3,035",085-193-14,"<a href=""https://www.bid4assets.com/mvc/info/sfid11629/Legals/085-193-14 Corrected.pdf"" target=""_blank"">Click here</a>",CA,"<a target=""_blank"" href=""https://www.bid4assets.com/mvc/info/sfid11629/Maps/085-193-14.pdf"">View Parcel Map</a>","<a target=""_blank"" href=""https://gis.santacruzcounty.us/gisweb/"">View GIS</a>","Assessed Values - <a href=""http://sccounty01.co.santa-cruz.ca.us/ASR/ParcelList/linkHREF?txtAPN=08519314&amp;outSide=true"" target=""_blank"">Click here</a>Taxes - <a href=""http://ttc.co.santa-cruz.ca.us/TaxBills/"" target=""_blank"">Click here</a>","$11,552.00",050-LOT/RURAL ZONE,
